Source IP,Source Port,Destination IP,Destination Port,Protocol,Rx-Pkts,Tx-Pkts,Rx-Bytes,Tx-Bytes,SPLT-Len,SPLT-Data,SNI
10.224.125.81,55028,185.125.190.17,80,TCP,1,1,189,-87,9,"['-0', '+0', '-0', '-87', '+189', '+0', '-0', '-0', '+0']",
10.224.125.81,34282,168.126.63.1,53,UDP,1,1,169,-74,2,"['-74', '+169']",
10.224.125.81,58847,168.126.63.1,53,UDP,1,1,164,-54,2,"['-54', '+164']",
10.224.125.81,47019,168.126.63.1,53,UDP,1,1,149,-75,2,"['-75', '+149']",
10.224.125.81,46217,168.126.63.1,53,UDP,1,1,149,-75,2,"['-75', '+149']",
10.224.125.81,52690,168.126.63.1,53,UDP,1,1,149,-75,2,"['-75', '+149']",
10.224.125.81,49342,168.126.63.1,53,UDP,1,1,149,-75,2,"['-75', '+149']",
10.224.125.81,34957,168.126.63.1,53,UDP,1,1,147,-74,2,"['-74', '+147']",
10.224.125.81,56128,168.126.63.1,53,UDP,1,1,147,-74,2,"['-74', '+147']",
10.224.125.81,34105,168.126.63.1,53,UDP,1,1,125,-65,2,"['-65', '+125']",
10.224.125.81,48911,168.126.63.1,53,UDP,1,1,120,-54,2,"['-54', '+120']",
10.224.125.81,60338,168.126.63.1,53,UDP,1,1,112,-43,2,"['-43', '+112']",
10.224.125.81,46606,168.126.63.1,53,UDP,1,1,112,-43,2,"['-43', '+112']",
10.224.125.81,58089,168.126.63.1,53,UDP,1,1,101,-41,2,"['-41', '+101']",
10.224.125.81,52043,168.126.63.1,53,UDP,1,1,100,-40,2,"['-40', '+100']",
10.224.125.81,54820,146.75.51.52,443,TCP,2,0,75,0,10,"['-0', '+0', '-0', '+0', '+51', '+24', '+0', '-0', '-0', '+0']",
10.224.125.81,43952,172.217.31.166,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,42190,216.58.220.130,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,37058,142.251.42.193,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,53422,142.251.222.33,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,51680,142.250.196.132,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,34376,142.250.196.130,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,40738,172.217.31.134,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,50910,172.217.175.35,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,43324,142.251.42.142,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,43150,172.217.175.110,443,TCP,1,0,73,0,8,"['-0', '+0', '-0', '+0', '+73', '-0', '+0', '-0']",
10.224.125.81,57569,168.126.63.1,53,UDP,1,1,59,-43,2,"['-43', '+59']",
10.224.125.81,43515,168.126.63.1,53,UDP,1,1,59,-43,2,"['-43', '+59']",
10.224.125.81,36933,168.126.63.1,53,UDP,1,1,57,-41,2,"['-41', '+57']",
10.224.125.81,54330,168.126.63.1,53,UDP,1,1,56,-40,2,"['-40', '+56']",
10.224.125.81,45134,58.76.12.78,443,TCP,0,0,0,0,6,"['-0', '+0', '+0', '-0', '-0', '+0']",
10.30.120.2,67,255.255.255.255,68,UDP,0,14,0,-4200,14,"['-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300']",
10.224.125.81,36456,23.49.154.73,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
34.32.10.90,443,10.224.125.81,57712,TCP,0,0,0,0,9,"['-0', '+0', '+0', '-0', '-0', '+0', '+0', '-0', '+0']",
10.224.125.81,51368,118.128.200.16,443,TCP,0,0,0,0,6,"['-0', '+0', '+0', '-0', '-0', '+0']",
10.224.125.81,47836,146.75.51.52,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,47568,146.75.51.52,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,46460,184.25.185.94,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,55514,23.49.154.73,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.93,138,10.224.127.255,138,UDP,0,6,0,-1194,6,"['-201', '-198', '-198', '-198', '-198', '-201']",
10.224.113.244,138,10.224.127.255,138,UDP,0,1,0,-181,1,['-181'],
10.224.125.81,55405,61.32.111.147,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.118.192,1046,255.255.255.255,1046,UDP,0,11,0,-363,11,"['-33', '-33', '-33', '-33', '-33', '-33', '-33', '-33', '-33', '-33', '-33']",
10.224.116.209,57621,10.224.127.255,57621,UDP,0,5,0,-220,5,"['-44', '-44', '-44', '-44', '-44']",
10.30.125.241,56700,255.255.255.255,56700,UDP,0,2,0,-72,2,"['-36', '-36']",
0.0.0.0,68,255.255.255.255,67,UDP,0,289,0,-87674,289,"['-300', '-308', '-318', '-300', '-300', '-300', '-310', '-320', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-308', '-308', '-318', '-300', '-300', '-300', '-300', '-300', '-302', '-312', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-318', '-304', '-300', '-306', '-316', '-300', '-300', '-300', '-318', '-314', '-300', '-300', '-304', '-312', '-300', '-300', '-300', '-318', '-300', '-300', '-300', '-300', '-304', '-300', '-314', '-300', '-300', '-304', '-316', '-300', '-300', '-300', '-300', '-300', '-322', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-312', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-312', '-322', '-300', '-300', '-300', '-318', '-328', '-300', '-300', '-306', '-316', '-300', '-300', '-300', '-296', '-306', '-300', '-314', '-324', '-300', '-306', '-300', '-316', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-314', '-324', '-300', '-312', '-308', '-308', '-318', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-314', '-324', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-318', '-300', '-300', '-300', '-300', '-300', '-318', '-328', '-300', '-300', '-300', '-300', '-300', '-300', '-312', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-306', '-316', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-308', '-318', '-312', '-314', '-324', '-322', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-304', '-314', '-304', '-314', '-300', '-300', '-300', '-300', '-300', '-300', '-304', '-314', '-300', '-300', '-312', '-300', '-300', '-300', '-300', '-300', '-308', '-318', '-300', '-300', '-300', '-300', '-300', '-300', '-300', '-312', '-300', '-300', '-300', '-300', '-300', '-300', '-310', '-320', '-300', '-300', '-300', '-306', '-316', '-306', '-318', '-308', '-300', '-318', '-300']",
10.224.125.81,55841,172.217.175.14,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,52398,142.251.42.206,443,UDP,0,1,0,-1250,1,['-1250'],
10.224.125.81,51580,58.76.224.141,443,TCP,0,4,0,-3252,14,"['-0', '+0', '-0', '-1400', '-419', '+0', '-0', '-64', '-1369', '+0', '-0', '-0', '+0', '-0']",r2---sn-ab02a0nfpgxapox-bh2ss.googlevideo.com
10.224.125.81,57050,23.49.154.73,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,39326,146.75.51.52,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,36434,142.251.222.46,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.120.169,1046,255.255.255.255,1046,UDP,0,10,0,-300,10,"['-30', '-30', '-30', '-30', '-30', '-30', '-30', '-30', '-30', '-30']",
10.224.112.46,57621,10.224.127.255,57621,UDP,0,2,0,-80,2,"['-40', '-40']",
34.1.37.11,443,10.224.125.81,52386,TCP,0,0,0,0,9,"['-0', '+0', '+0', '-0', '-0', '+0', '-0', '+0', '+0']",
10.224.125.81,55524,23.49.154.73,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,39080,58.76.12.12,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '+0', '-0']",
10.30.120.180,68,255.255.255.255,67,UDP,0,1,0,-300,1,['-300'],
10.224.125.81,53830,104.196.0.153,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.125.81,45132,58.76.12.78,443,TCP,0,0,0,0,6,"['-0', '+0', '+0', '-0', '-0', '+0']",
10.224.122.34,17500,10.224.127.255,17500,UDP,0,3,0,-405,3,"['-135', '-135', '-135']",
10.30.127.131,68,255.255.255.255,67,UDP,0,1,0,-288,1,['-288'],
10.224.125.81,43936,172.217.31.166,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.122.34,17500,255.255.255.255,17500,UDP,0,15,0,-2025,15,"['-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135', '-135']",
10.224.125.81,50800,142.250.196.97,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,51662,146.75.51.52,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.125.81,58620,216.239.32.3,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,36977,142.250.196.131,443,UDP,0,8,0,-10000,8,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,39606,34.64.4.67,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,57812,146.75.51.52,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '-0', '+0']",
10.224.125.81,55776,58.151.219.144,443,TCP,0,0,0,0,6,"['-0', '+0', '-0', '+0', '+0', '-0']",
10.224.125.81,48766,203.252.15.146,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,54020,210.92.119.19,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,37040,142.251.42.193,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.125.81,44840,52.200.46.145,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.125.81,50490,142.251.42.206,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.125.81,33740,58.151.219.204,443,TCP,0,0,0,0,4,"['-0', '+0', '-0', '+0']",
10.224.113.33,138,10.224.127.255,138,UDP,0,1,0,-198,1,['-198'],
10.224.125.81,47222,203.252.15.142,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.118.195,138,10.224.127.255,138,UDP,0,1,0,-201,1,['-201'],
10.221.101.90,68,255.255.255.255,67,UDP,0,1,0,-300,1,['-300'],
10.30.120.150,138,10.30.127.255,138,UDP,0,4,0,-723,4,"['-201', '-174', '-174', '-174']",
10.224.125.81,51855,58.76.224.141,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,41935,118.128.200.76,443,UDP,0,6,0,-7500,6,"['-1250', '-1250', '-1250', '-1250', '-1250', '-1250']",
10.224.125.81,56676,239.255.255.250,1900,UDP,0,4,0,-688,4,"['-172', '-172', '-172', '-172']",
10.224.118.192,138,10.224.127.255,138,UDP,0,1,0,-201,1,['-201'],
10.224.117.210,138,10.224.127.255,138,UDP,0,1,0,-201,1,['-201'],
